topology,round,rmse_disagreement
Binary tree,19,0.21603410107547555
Binary tree,20,0.2105454575605933
Binary tree,21,0.20537677411739713
Binary tree,22,0.2004995468831364
Binary tree,23,0.19588805386900626
Binary tree,24,0.19151903587025562
Binary tree,25,0.18737144083629345
Binary tree,26,0.1834262097000851
Binary tree,27,0.17966609058250027
Binary tree,28,0.1760754735872668
Binary tree,29,0.17264024153225194
Binary tree,30,0.16934763379429088
Binary tree,31,0.16618612150258033
Binary tree,32,0.1631452929157214
Binary tree,33,0.16021574814977474
Binary tree,34,0.15738900260299266
Binary tree,35,0.15465739851503996
Binary tree,36,0.15201402414451337
Binary tree,37,0.14945264007166645
Binary tree,38,0.14696761214657986
Binary tree,39,0.14455385061371304
Binary tree,40,0.1422067549553947
Binary tree,41,0.1399221640108617
Binary tree,42,0.1376963109443052
Binary tree,43,0.13552578265478285
Binary tree,44,0.13340748324228707
Binary tree,45,0.13133860116710636
Binary tree,46,0.1293165797632748
Binary tree,47,0.1273390907908282
Binary tree,48,0.12540401073531965
Binary tree,49,0.12350939958622037
Binary tree,50,0.12165348184816613
Binary tree,51,0.11983462956029653
Binary tree,52,0.11805134711904058
Binary tree,53,0.11630225771853944
Binary tree,54,0.11458609124043012
Binary tree,55,0.11290167344093718
Binary tree,56,0.11124791629815514
Binary tree,57,0.10962380939609571
Binary tree,58,0.10802841223457453
Binary tree,59,0.10646084736539066
Binary tree,60,0.10492029426557523
Stochastic block model,0,0.7830827028981137
Stochastic block model,1,0.40809957430667493
Stochastic block model,2,0.3037519144027841
Stochastic block model,3,0.24444271430653244
Stochastic block model,4,0.20258631140100136
Stochastic block model,5,0.17028254969130355
Stochastic block model,6,0.14416908697771566
Stochastic block model,7,0.12252062680148075
Stochastic block model,8,0.10432879457072948
Stochastic block model,9,0.08893121839476383
Stochastic block model,10,0.07584887149152861
Stochastic block model,11,0.06471097469456985
Stochastic block model,12,0.05521809230313168
Stochastic block model,13,0.04712238584211081
Stochastic block model,14,0.040215894411454935
Stochastic block model,15,0.03432280153667296
Stochastic block model,16,0.02929385194624686
Stochastic block model,17,0.02500204900319056
Stochastic block model,18,0.021339196525900807
Stochastic block model,19,0.01821304805678288
Stochastic block model,20,0.015544922154514558
Stochastic block model,21,0.01326769072312174
Stochastic block model,22,0.011324073859123988
Stochastic block model,23,0.009665190501912784
Stochastic block model,24,0.008249324513479414
Stochastic block model,25,0.007040873153961531
Stochastic block model,26,0.006009450470300163
Stochastic block model,27,0.005129122503113283
Stochastic block model,28,0.004377754787302688
Stochastic block model,29,0.0037364555805160745
Stochastic block model,30,0.0031891007328632387
Stochastic block model,31,0.0027219282032330855
Stochastic block model,32,0.0023231920001814672
Stochastic block model,33,0.0019828668313536762
Stochastic block model,34,0.0016923960269860407
Stochastic block model,35,0.0014444763947753442
Stochastic block model,36,0.0012328745940535164
Stochastic block model,37,0.0010522704108697674
Stochastic block model,38,0.0008981229926158969
Stochastic block model,39,0.0007665566784765901
Stochastic block model,40,0.0006542635548959305
Stochastic block model,41,0.0005584202858866503
Stochastic block model,42,0.00047661712698662166
Stochastic block model,43,0.00040679733803651407
Stochastic block model,44,0.00034720547142938165
Stochastic block model,45,0.0002963432356481126
Stochastic block model,46,0.000252931824377297
Stochastic block model,47,0.00021587976404068883
Stochastic block model,48,0.00018425547136639468
Stochastic block model,49,0.00015726383100459745
Stochastic block model,50,0.00013422620429835713
Stochastic block model,51,0.00011456336657630994
Stochastic block model,52,9.778094396708176e-05
Stochastic block model,53,8.345698357930318e-05
Stochastic block model,54,7.123134452995976e-05
Stochastic block model,55,6.0796643084251044e-05
Stochastic block model,56,5.1890524244787934e-05
Stochastic block model,57,4.42890654780165e-05
Stochastic block model,58,3.78011467308501e-05
Stochastic block model,59,3.226364518522078e-05
Stochastic block model,60,2.753733393459068e-05
